Price;obname;price;quty;dirTrigger;AgTrigger;Oid;ag2;Oid2;bestask;bestbid
Price;lvmh;14465;15;A;paul;388;paul;377;14309;14465
Price;lvmh;14631;52;A;paul;390;paul;389;14062;14631
Price;lvmh;14631;3;A;paul;402;paul;389;14391;14631
Price;lvmh;14574;20;A;paul;402;paul;401;14391;14574
Price;lvmh;14574;4;A;paul;406;paul;401;14020;14574
Price;lvmh;14465;18;A;paul;406;paul;377;14020;14465
Price;lvmh;14708;25;B;paul;69;paul;407;14708;14884
Price;lvmh;14717;1;B;paul;205;paul;407;14717;14884
Price;lvmh;14713;30;A;paul;413;paul;412;14402;14713
Price;lvmh;14717;20;B;paul;205;paul;414;14717;14752
Price;lvmh;14713;60;A;paul;415;paul;412;14690;14713
Price;lvmh;14665;30;A;paul;416;paul;408;14259;14665
Price;lvmh;14465;28;A;paul;416;paul;377;14259;14465
Price;lvmh;14690;39;B;paul;415;paul;417;14690;14822
Price;lvmh;14717;32;B;paul;205;paul;417;14717;14822
Price;lvmh;14727;12;B;paul;199;paul;417;14727;14822
Price;lvmh;14632;27;B;paul;418;paul;419;14632;14679
Price;lvmh;14632;23;B;paul;418;paul;420;14632;14898
Price;lvmh;14632;45;B;paul;418;paul;421;14632;14879
Price;lvmh;14727;3;B;paul;199;paul;421;14727;14879
Price;lvmh;14727;26;B;paul;293;paul;421;14727;14879
Price;lvmh;14465;1;A;paul;423;paul;377;14172;14465
Price;lvmh;14416;56;A;paul;423;paul;365;14172;14416
Price;lvmh;14413;17;A;paul;423;paul;405;14172;14413
Price;lvmh;14508;62;B;paul;422;paul;425;14508;14613
Price;lvmh;14613;12;A;paul;426;paul;425;14266;14613
Price;lvmh;14413;69;A;paul;426;paul;405;14266;14413
Price;lvmh;14446;14;B;paul;427;paul;428;14446;14733
Price;lvmh;14446;56;B;paul;427;paul;433;14446;14633
Price;lvmh;14413;6;A;paul;434;paul;405;14233;14413
Price;lvmh;14370;17;A;paul;434;paul;403;14233;14370
Price;lvmh;14369;47;A;paul;434;paul;362;14233;14369
Price;lvmh;14369;29;A;paul;438;paul;362;14226;14369
Price;lvmh;14358;6;A;paul;438;paul;393;14226;14358
Price;lvmh;14412;60;A;paul;440;paul;439;14227;14412
Price;lvmh;14358;24;A;paul;440;paul;393;14227;14358
Price;lvmh;14358;36;A;paul;450;paul;393;14103;14358
Price;lvmh;14343;6;A;paul;450;paul;363;14103;14343
Price;lvmh;14387;10;B;paul;451;paul;452;14387;14527
Price;lvmh;14387;31;B;paul;451;paul;457;14387;14992
Price;lvmh;14429;10;B;paul;443;paul;457;14429;14992
Price;lvmh;14429;43;B;paul;443;paul;458;14429;14538
Price;lvmh;14429;24;B;paul;443;paul;460;14429;14641
Price;lvmh;14431;19;B;paul;436;paul;460;14431;14641
Price;lvmh;14446;10;B;paul;427;paul;460;14446;14641
Price;lvmh;14476;7;B;paul;454;paul;460;14476;14641
Price;lvmh;14476;26;B;paul;454;paul;463;14476;14980
Price;lvmh;14476;18;B;paul;454;paul;465;14476;14770
Price;lvmh;14477;61;B;paul;442;paul;465;14477;14770
Price;lvmh;14507;1;B;paul;456;paul;465;14507;14770
Price;lvmh;14507;37;B;paul;456;paul;466;14507;14931
Price;lvmh;14529;38;B;paul;447;paul;466;14529;14931
Price;lvmh;14529;36;B;paul;447;paul;468;14529;14783
Price;lvmh;14343;48;A;paul;469;paul;363;14275;14343
Price;lvmh;14275;23;B;paul;469;paul;470;14275;14578
Price;lvmh;14529;23;B;paul;447;paul;470;14529;14578
Price;lvmh;14563;6;B;paul;444;paul;470;14563;14578
Price;lvmh;14563;24;B;paul;444;paul;472;14563;14836
Price;lvmh;14344;82;B;paul;473;paul;476;14344;14747
Price;lvmh;14344;13;B;paul;473;paul;477;14344;14474
Price;lvmh;14563;55;B;paul;444;paul;478;14563;14630
Price;lvmh;14566;24;B;paul;435;paul;478;14566;14630
Price;lvmh;14613;8;B;paul;464;paul;478;14613;14630
Price;lvmh;14474;9;A;paul;479;paul;477;14059;14474
Price;lvmh;14323;38;A;paul;479;paul;475;14059;14323
Price;lvmh;14613;5;B;paul;464;paul;482;14613;14872
Price;lvmh;14666;57;B;paul;432;paul;482;14666;14872
Price;lvmh;14666;7;B;paul;432;paul;484;14666;14727
Price;lvmh;14667;36;B;paul;462;paul;484;14667;14727
Price;lvmh;14323;24;A;paul;485;paul;475;14177;14323
Price;lvmh;14269;28;A;paul;485;paul;367;14177;14269
Price;lvmh;14257;45;A;paul;485;paul;445;14177;14257
Price;lvmh;14663;28;A;paul;487;paul;486;14016;14663
Price;lvmh;14663;18;A;paul;488;paul;486;14519;14663
Price;lvmh;14519;48;B;paul;488;paul;492;14519;14606
Price;lvmh;14667;17;B;paul;462;paul;493;14667;14836
Price;lvmh;14679;20;B;paul;431;paul;493;14679;14836
Price;lvmh;14724;54;B;paul;483;paul;493;14724;14836
Price;lvmh;14606;27;A;paul;495;paul;492;14182;14606
Price;lvmh;14257;43;A;paul;495;paul;445;14182;14257
Price;lvmh;14245;9;A;paul;495;paul;461;14182;14245
Price;lvmh;14447;19;A;paul;497;paul;496;14046;14447
Price;lvmh;14245;27;A;paul;497;paul;461;14046;14245
Price;lvmh;14312;75;B;paul;499;paul;501;14312;14742
Price;lvmh;14724;23;B;paul;483;paul;501;14724;14742
Price;lvmh;14352;51;B;paul;502;paul;503;14352;14998
Price;lvmh;14724;2;B;paul;483;paul;503;14724;14998
Price;lvmh;14727;10;B;paul;293;paul;503;14727;14998
Price;lvmh;14727;15;B;paul;293;paul;508;14727;14937
Price;lvmh;14728;5;B;paul;62;paul;508;14728;14937
Price;lvmh;14728;63;B;paul;62;paul;511;14728;14857
Price;lvmh;14728;29;B;paul;70;paul;511;14728;14857
Price;lvmh;14692;26;A;paul;517;paul;505;14011;14692
Price;lvmh;14476;48;A;paul;517;paul;516;14011;14476
Price;lvmh;14436;5;A;paul;517;paul;513;14011;14436
Price;lvmh;14728;50;B;paul;70;paul;518;14728;14802
Price;lvmh;14728;18;B;paul;70;paul;521;14728;14859
Price;lvmh;14733;32;B;paul;498;paul;521;14733;14859
Price;lvmh;14443;23;A;paul;526;paul;524;14146;14443
Price;lvmh;14488;41;B;paul;527;paul;528;14488;14985
Price;lvmh;14733;29;B;paul;498;paul;528;14733;14985
Price;lvmh;14737;9;B;paul;7;paul;528;14737;14985
Price;lvmh;14737;6;B;paul;7;paul;529;14737;14781
Price;lvmh;14742;17;B;paul;396;paul;529;14742;14781
Price;lvmh;14705;22;A;paul;534;paul;532;14647;14705
Price;lvmh;14705;14;A;paul;536;paul;532;14389;14705
Price;lvmh;14654;25;A;paul;536;paul;531;14389;14654
Price;lvmh;14615;27;A;paul;536;paul;535;14389;14615
Price;lvmh;14615;43;A;paul;538;paul;535;14592;14615
Price;lvmh;14615;26;A;paul;539;paul;535;14562;14615
Price;lvmh;14562;28;B;paul;539;paul;543;14562;14768
Price;lvmh;14742;15;B;paul;396;paul;543;14742;14768
Price;lvmh;14443;44;A;paul;545;paul;524;14217;14443
Price;lvmh;14443;5;A;paul;550;paul;524;14302;14443
Price;lvmh;14436;18;A;paul;550;paul;513;14302;14436
Price;lvmh;14418;30;A;paul;550;paul;519;14302;14418
Price;lvmh;14381;23;A;paul;550;paul;530;14302;14381
Price;lvmh;14495;17;B;paul;549;paul;552;14495;14939
Price;lvmh;14704;13;B;paul;548;paul;552;14704;14939
Price;lvmh;14381;38;A;paul;559;paul;530;14180;14381
Price;lvmh;14704;27;B;paul;548;paul;560;14704;14900
Price;lvmh;14733;1;B;paul;557;paul;560;14733;14900
Price;lvmh;14676;26;A;paul;564;paul;563;14073;14676
Price;lvmh;14381;26;A;paul;564;paul;530;14073;14381
Price;lvmh;14374;44;A;paul;564;paul;561;14073;14374
Price;lvmh;14405;36;B;paul;569;paul;571;14405;14526
Price;lvmh;14452;54;B;paul;570;paul;571;14452;14526
Price;lvmh;14733;67;B;paul;557;paul;572;14733;14858
Price;lvmh;14740;26;B;paul;551;paul;572;14740;14858
Price;lvmh;14526;6;A;paul;573;paul;571;14421;14526
Price;lvmh;14421;90;B;paul;573;paul;574;14421;14571
Price;lvmh;14571;7;A;paul;578;paul;574;14556;14571
Price;lvmh;14377;16;A;paul;579;paul;576;14346;14377
Price;lvmh;14377;43;A;paul;580;paul;576;14046;14377
Price;lvmh;14377;29;A;paul;582;paul;576;14143;14377
Price;lvmh;14410;44;A;paul;593;paul;589;14376;14410
Price;lvmh;14410;20;A;paul;594;paul;589;14343;14410
Price;lvmh;14410;5;A;paul;595;paul;589;14288;14410
Price;lvmh;14405;10;A;paul;595;paul;583;14288;14405
Price;lvmh;14377;1;A;paul;595;paul;576;14288;14377
Price;lvmh;14374;6;A;paul;595;paul;561;14288;14374
Price;lvmh;14421;49;B;paul;587;paul;599;14421;14992
Price;lvmh;14374;6;A;paul;604;paul;561;14079;14374
Price;lvmh;14360;4;A;paul;604;paul;544;14079;14360
Price;lvmh;14421;43;B;paul;587;paul;606;14421;14887
Price;lvmh;14360;44;A;paul;608;paul;544;14226;14360
Price;lvmh;14421;7;B;paul;587;paul;609;14421;14515
Price;lvmh;14497;51;B;paul;581;paul;609;14497;14515
Price;lvmh;14497;6;B;paul;581;paul;612;14497;14841
Price;lvmh;14556;27;B;paul;578;paul;612;14556;14841
Price;lvmh;14556;26;B;paul;578;paul;613;14556;14789
